antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'util=high', 'energy=low'})",frozenset({'duration=short'}),0.1105918434407974,0.06524517141918289,0.05378071488553799,0.4862991086167052,7.453411463851673,1.0,0.04656513110267973,1.8196480564082875,0.9734937133314828,0.4406221956326653,0.45044317966967184,0.6552928111634169
frozenset({'duration=short'}),"frozenset({'util=high', 'energy=low'})",0.06524517141918289,0.1105918434407974,0.05378071488553799,0.8242865137101286,7.453411463851672,1.0,0.04656513110267973,5.061695464239791,0.9262677469242606,0.4406221956326653,0.8024377390807353,0.6552928111634169
frozenset({'time=evening'}),"frozenset({'temp=hot', 'duration=long', 'wind=high'})",0.15239694767972545,0.0904377669867465,0.05385373690167586,0.353378054623862,3.9074168502595708,1.0,0.04007129725792545,1.4066368138559913,0.8778595662506342,0.28496908809891813,0.2890844387481116,0.47442822795787365
"frozenset({'temp=hot', 'duration=long', 'wind=high'})",frozenset({'time=evening'}),0.0904377669867465,0.15239694767972545,0.05385373690167586,0.5954784012918853,3.9074168502595703,1.0,0.04007129725792545,2.0953221163645908,0.8180599642946562,0.28496908809891813,0.5227464110697156,0.47442822795787365
frozenset({'duration=short'}),frozenset({'energy=low'}),0.06524517141918289,0.2381978166417175,0.057614370732775935,0.8830442081701175,3.7071885066786248,1.0,0.042073113354311985,6.513590917039479,0.7812249597499561,0.23436803802168424,0.8464748534661563,0.5624601788857945
frozenset({'energy=low'}),frozenset({'duration=short'}),0.2381978166417175,0.06524517141918289,0.057614370732775935,0.2418761496014715,3.7071885066786248,1.0,0.042073113354311985,1.2329843311082191,0.9585871756299247,0.23436803802168424,0.18895968523688395,0.5624601788857945
frozenset({'energy=low'}),"frozenset({'util=high', 'duration=short'})",0.2381978166417175,0.06126547153966921,0.05378071488553799,0.2257817290006131,3.6853014157317,1.0,0.0391874133292635,1.2124933802564242,0.9564842295108583,0.21890325456977264,0.17525322918586567,0.5518062399472672
"frozenset({'util=high', 'duration=short'})",frozenset({'energy=low'}),0.06126547153966921,0.2381978166417175,0.05378071488553799,0.8778307508939214,3.6853014157317,1.0,0.0391874133292635,6.235629578903407,0.7762064271612952,0.21890325456977264,0.8396312694097107,0.5518062399472672
"frozenset({'util=high', 'energy=medium', 'wind=high'})",frozenset({'duration=medium'}),0.07433641242834714,0.19471320603161854,0.0507868122238855,0.6832023575638507,3.5087623047658556,1.0,0.03631253103507338,2.541959554293992,0.772418001315317,0.23268651722984277,0.6066027099798833,0.4720155796819816
frozenset({'duration=medium'}),"frozenset({'util=high', 'energy=medium', 'wind=high'})",0.19471320603161854,0.07433641242834714,0.0507868122238855,0.2608288018001125,3.508762304765855,1.0,0.03631253103507338,1.2522993182444506,0.8878814647872341,0.23268651722984277,0.2014688617719118,0.4720155796819816
