policy,satisfaction_ratio_mean,satisfaction_ratio_std,peak_demand_kw_mean,peak_demand_kw_std,jain_fairness_mean,jain_fairness_std,total_energy_delivered_kwh_mean,total_energy_requested_kwh_mean,num_sessions_mean
DDPG,0.7632212037367803,0.11137913818868642,51.1764,19.519751029473497,0.8155636371507414,0.09182360934553475,218.6510127240143,287.1375127240143,32.6
DQN,0.9714179556719247,0.05647684554388351,70.126,32.442277095757234,0.995087531946884,0.005352082744708105,277.41102939068094,287.1375127240143,32.2
EDF,0.9741508728532722,0.056510314557047955,62.25079999999999,25.679881131057886,0.9954693158961649,0.00518003700365796,277.7387127240143,287.1375127240143,32.2
FCFS,0.9735938071885899,0.05628466341926736,62.197399999999995,25.62662317200609,0.9927424646561291,0.0090155017885247,277.534729390681,287.1375127240143,32.2
MPC Oracle,0.9742879293551784,0.05631769830641905,21.099067033017633,6.282174061625586,0.9917112780043613,0.011132702679627762,277.7834793906809,287.1375127240143,33.55
PPO,0.4636668238769042,0.1173946634601026,26.2204,9.542197729862313,0.556730439056943,0.08534767391285476,133.21628216845878,287.1375127240143,32.9
PPO +W,0.4918822953516845,0.12876798661510752,31.391799999999996,14.443699684965539,0.6006342852139658,0.13300652677435018,146.09608333333333,287.1375127240143,32.95
Round-Robin,0.9721414361179255,0.05637146582131409,59.339200000000005,23.752359593810553,0.9952606041604352,0.005188648674524769,276.9671460573476,287.1375127240143,32.2
SAC,0.7812253679930022,0.11532542743211532,53.811800000000005,25.2504939224229,0.8741039078603962,0.05602323020054904,228.04607939068097,287.1375127240143,32.75
SAC +W,0.7634378431185513,0.16925417788445213,55.483799999999995,27.440379204837217,0.8863493036774719,0.08384766968868788,227.28562939068098,287.1375127240143,32.75
Uncontrolled,0.9741508728532722,0.056510314557047955,67.389,30.084348254445143,0.9954693158961649,0.00518003700365796,277.7387127240143,287.1375127240143,32.2
