policy,satisfaction_ratio_mean,satisfaction_ratio_std,peak_demand_kw_mean,peak_demand_kw_std,jain_fairness_mean,jain_fairness_std,total_energy_delivered_kwh_mean,total_energy_requested_kwh_mean,num_sessions_mean
DDPG,0.5640490889008297,0.16189423578787182,97.83540000000002,63.40314063315295,0.7262281119237034,0.14337688810975333,429.91015,716.46795,40.15
DQN,0.9796433378337088,0.01837629335378159,183.05940000000018,125.46518356412261,0.9983076487797439,0.0029686644208547514,695.6162666666667,716.46795,34.15
EDF,0.9833587088488859,0.01766950489552884,126.5088000000001,82.70148266321921,0.9990051391847337,0.0013866012449929492,698.8086000000001,716.46795,33.9
FCFS,0.9827464631663501,0.0186642013441289,126.23500000000008,82.38137488917984,0.9965491248363778,0.006564554576997619,698.1376333333334,716.46795,33.85
MPC Oracle,0.9837365078546225,0.017576657522326535,63.27565530283916,42.32043096969397,0.9908887754561102,0.010391508051025962,699.1976333333331,716.46795,48.75
PPO,0.46376900184133396,0.14864706995717206,44.367599999999996,27.902446658237505,0.677223582347154,0.19983926513087474,304.36841666666663,716.46795,43.2
PPO +W,0.5068380253998602,0.1533774157135952,57.004999999999995,38.20561027691587,0.7076929859305904,0.16131771026556066,385.7616833333334,716.46795,41.9
Round-Robin,0.9819764348512867,0.01823656274099155,119.9478,77.71925146834599,0.9987726358314808,0.0014714561204805057,697.3360833333334,716.46795,33.8
SAC,0.7706142207059018,0.14736643283693396,109.29080000000002,72.62596971042073,0.894724747304301,0.10794188341834805,566.4754833333333,716.46795,38.0
SAC +W,0.713734798869108,0.12922922225085814,107.74680000000001,71.97867297119848,0.9067557087068409,0.051381603465861306,525.5360499999999,716.46795,38.45
Uncontrolled,0.9839784465034915,0.017049280642627975,170.54700000000014,116.07822198845065,0.9990051391847337,0.0013866012449929492,699.45965,716.46795,33.65
